#,نام بازی,امتیاز,سطح,زمان,کاربر,نام کاربری,مدت(ثانیه),زمان واکنش(میلی ثانیه),جزئیات,پاسخ های درست,پاسخ های غلط,رشته درست و غلط,تنظیمات پیشرفته,پایان یافته,بیشتر
850118,بزرگراه,18500,22,8/7/2023 2:19:35 PM,1ac3985e-da13-4228-8ef5-1cff5009af62,Danial.zahed,90,"1720,4068,3405,4944,3364,3620,3198,3356,3505,2451,2616,1976,1951,1827,2259,1977,1095,1079,889,930,1041,961,904,947,1170,1073,1195,1005,996,805,1212,108,1453,1013,1247,904,963,947,798,1245,1361,631,1387,613,458,1552,2044,2051,2575,1354,2059,1197,937,879,1006","TFS:[TTTFTTTTTTTTTTTTFFTTTTTTTTTTFFTTTTTTTTTFFFFFFTTTFTTTTTT] RTS:[1718,4071,3405,4943,3364,3621,3198,3356,3498,2458,2616,1977,1952,1827,2260,1978,1095,1080,888,930,1040,961,905,947,1170,1072,1195,1000,1000,808,1211,109,1453,1013,1246,905,963,947,798,1245,1357,636,1383,618,457,1553,2043,2051,2575,1354,2060,1196,938,880,1005] HDS:[0O,0e,0O,0e,0O,1O,1e,1O,10,1O,2O,2e,2u,2u,2O,3f,39,3v,3v,3v,3v,3v,3v,3e,3f,3v,31,31,31,3v,31,38,38,3O,39,39,3f,3f,3e,3f,31,3v,31,39,3e,2u,2O,2O,20,2u,3v,39,3v,3f,3f] CHD:[4F92yeSaSC8S4yyum0SuWa0Gm0WOOmKq884aqyKKueOWCOSm40yyG00q08O0]",43,12,TTTFTTTTTTTTTTTTFFTTTTTTTTTTFFTTTTTTTTTFFFFFFTTTFTTTTTT,,TRUE,
850115,بزرگراه,12750,22,8/7/2023 2:17:47 PM,1ac3985e-da13-4228-8ef5-1cff5009af62,Danial.zahed,90,"2216,3870,3231,4096,3888,4144,3202,2613,3597,2658,2882,1885,2036,1676,2092,2368,996,1020,50,1654,1311,357,1596,1053,424,339,2882,1926,2385,2019,1751,931,1063,1154,1005,913,1261,998,249,1767,996,141,2377,2250,2085,2325,1911,1520","TFS:[FTTTTTTTTTTTTTTTFFFTFFTFFFTTTTTTTTTTFFFFFFTTTTTT] RTS:[2216,3871,3231,4095,3888,4145,3203,2612,3597,2658,2882,1886,2036,1677,2093,2362,1002,1017,53,1653,1312,357,1595,1047,431,340,2882,1926,2385,2018,1752,930,1063,1154,1005,913,1254,1000,254,1765,1000,141,2376,2251,2085,2326,1910,1520] HDS:[0e,0e,0u,0e,0e,1e,1e,1u,1O,18,28,2O,2e,2e,2O,31,39,31,3e,39,31,3e,3v,31,3u,2u,28,28,28,2e,3f,3f,39,3P,3f,3f,31,31,3e,31,21,2O,28,2e,2O,2e,2e,28] CHD:[E05BOqOqqqqOWiiGqK0CKaGSeS8miaSyi4q4S044WKu88CCKmqKiO]",33,15,FTTTTTTTTTTTTTTTFFFTFFTFFFTTTTTTTTTTFFFFFFTTTTTT,,TRUE,
850114,بزرگراه,13250,22,8/7/2023 2:15:54 PM,1ac3985e-da13-4228-8ef5-1cff5009af62,Danial.zahed,90,"2019,3169,4818,3414,3855,4567,2442,2973,2534,3555,3007,2134,1728,1880,2156,1637,963,1444,1088,1012,1082,487,1279,930,1072,1087,1039,1135,557,365,1943,1154,465,1554,1004,76,604,1852,1012,616,1834,1777,2260,1819,2367,1670,1146,939,1078,997,855,348,1636,1178,59","TFS:[TTTTTTTTFTTFTTTTTTTFFFTTTTFFFTFTTTTFFTFFTTFTTTTTFFTFFFT] RTS:[2017,3173,4818,3414,3854,4569,2442,2974,2533,3555,3007,2134,1728,1880,2157,1637,963,1444,1088,1013,1076,493,1279,930,1072,1087,1039,1136,556,365,1943,1153,466,1553,1000,80,605,1852,1013,616,1834,1778,2259,1819,2367,1669,1142,944,1076,1000,855,348,1637,1178,59] HDS:[0u,0u,0u,08,08,18,1e,1e,1u,18,2u,2O,2e,2u,28,38,38,3P,3f,3f,31,3O,3f,3f,39,3v,3P,31,38,3e,3f,31,3u,31,31,3O,3e,3u,3e,3u,2O,2O,2O,28,2O,3f,31,3f,31,31,3P,3e,3P,31,38] CHD:[E79000GyySO84SWCO0SCiqeaO8u8iWSKueWCGCSCSmWuaqSyquS8KmaqCuSS]",36,19,TTTTTTTTFTTFTTTTTTTFFFTTTTFFFTFTTTTFFTFFTTFTTTTTFFTFFFT,,TRUE,
850112,بزرگراه,12000,22,8/7/2023 2:14:10 PM,1ac3985e-da13-4228-8ef5-1cff5009af62,Danial.zahed,90,"2311,3842,3148,4262,4045,4376,2285,3455,2566,2808,3234,1983,2176,1835,2176,1713,1112,1147,24,1793,848,1368,93,1850,914,398,1569,1071,457,1214,1601,1611,2059,2259,1996,1493,1047,971,1054,1071,1287,1055,95,684,2019,1220,34,3262,1605,2018,1918","TFS:[TTTTTTTTTTFTTTTTFFFTTFTFFFFFFTTTTFTTTTTFFFFFTFTTTTT] RTS:[2308,3846,3148,4262,4045,4378,2284,3455,2567,2807,3233,1983,2176,1835,2176,1712,1112,1139,32,1793,847,1366,96,1851,914,398,1569,1072,456,1214,1602,1611,2060,2259,1995,1493,1047,971,1055,1071,1287,1049,102,684,2018,1214,40,3259,1608,2018,1918] HDS:[0u,0e,0e,0O,0e,1u,1u,1O,1e,1u,2O,2e,2O,2u,28,3f,3v,31,3O,39,3P,31,3u,39,3P,3e,3v,3P,38,38,2u,2e,28,28,28,3u,3u,38,3v,3f,39,31,3O,3e,39,21,2u,20,28,2O,39] CHD:[87D2GCCai0mqymuiK0eCqqeOK00ay0u8GeWye08GWuGKiSiGe4W8OKua]",33,18,TTTTTTTTTTFTTTTTFFFTTFTFFFFFFTTTTFTTTTTFFFFFTFTTTTT,,TRUE,
850108,بزرگراه,11750,22,8/7/2023 2:12:14 PM,1ac3985e-da13-4228-8ef5-1cff5009af62,Danial.zahed,90,"1862,3992,3870,3596,4728,3706,3191,2607,2957,2658,3563,438,2965,2193,1694,2348,1825,2048,1877,1969,2226,274,1670,1104,265,1737,2384,416,3132,2142,1794,1878,2284,2293,1594,2109,1154,707,257,1586,1462,913,1088,66,1952,48","TFS:[TTTTTTTTTTFFTTTTTTFTFFTFFTFFTTTTTTTFFFTTTTFFTF] RTS:[1860,3995,3871,3596,4727,3707,3190,2607,2957,2659,3562,439,2965,2193,1694,2347,1825,2049,1877,1969,2226,274,1669,1104,265,1736,2384,415,3132,2143,1794,1877,2284,2293,1594,2110,1148,712,257,1585,1463,913,1086,68,1951,50] HDS:[0e,0u,08,0O,08,18,1O,1u,1u,1O,20,2e,2u,2u,2e,28,2e,2u,28,2O,3f,3u,3P,3v,3e,2e,2O,2u,2O,2e,2e,2O,2e,2e,2e,3v,31,3P,3u,3u,31,3v,31,3O,31,38] CHD:[7D82umaiK4SGGy0CmGO4O0iyGaCKSeKui8Oie8eayGGWKWi04u]",31,15,TTTTTTTTTTFFTTTTTTFTFFTFFTFFTTTTTTTFFFTTTTFFTF,,TRUE,
850104,بزرگراه,9500,22,8/7/2023 2:10:21 PM,1ac3985e-da13-4228-8ef5-1cff5009af62,Danial.zahed,90,"1779,3792,4851,4461,2775,3928,4244,4461,3588,3854,3488,3646,2319,2914,3787,2409,2069,1967,1902,2127,1610,1275,363,1643,456,1927,1936,1684,2234,1935,1869,972,1071,356,1404,1145,441,1502,340,1778","TFS:[FTTFFTTTTTTTTTTFTTTTTFFFFTTTTTTTFFTFFFFT] RTS:[1776,3796,4852,4453,2782,3929,4245,4461,3588,3854,3489,3646,2319,2915,3788,2409,2068,1968,1902,2127,1611,1274,362,1645,456,1927,1937,1684,2234,1935,1869,972,1071,357,1404,1146,441,1503,340,1778] HDS:[0u,0u,0u,00,08,0e,0u,0e,0u,08,1u,1u,1u,1O,1u,2e,2e,28,2O,2u,3u,3P,38,3f,3u,2e,28,2O,2O,2u,3f,3f,39,3O,3O,3v,3e,39,3O,39] CHD:[82D7S4aCWSai48444G4uCumaa8mKGSe00KSimaWS0WqOu]",26,14,FTTFFTTTTTTTTTTFTTTTTFFFFTTTTTTTFFTFFFFT,,TRUE,
850100,ابرهای بارانی,10000,22,8/7/2023 2:08:35 PM,1ac3985e-da13-4228-8ef5-1cff5009af62,Danial.zahed,3,,TFS:[] RTS:[] HDS:[] CHD:[C1024601246024111602114610],0,0,,,TRUE,
850100,ابرهای بارانی,10000,22,8/7/2023 2:08:32 PM,1ac3985e-da13-4228-8ef5-1cff5009af62,Danial.zahed,17,"623,251,297,366,698,646,433,954","TFS:[TTTTTTFT] RTS:[623,252,297,365,697,647,434,953] HDS:[2,B,7,0,O,1,I,D] CHD:[C7777024760274760246024607]",7,1,TTTTTTFT,,FALSE,
850100,ابرهای بارانی,7400,23,8/7/2023 2:08:14 PM,1ac3985e-da13-4228-8ef5-1cff5009af62,Danial.zahed,18,"465,284,438,897,733,936,708,1096","TFS:[TTTTTTFF] RTS:[465,284,438,897,733,936,708,1095] HDS:[J,E,4,1,8,F,L,M] CHD:[00325346052460235460324650]",6,2,TTTTTTFF,,FALSE,
850100,ابرهای بارانی,5400,23,8/7/2023 2:07:56 PM,1ac3985e-da13-4228-8ef5-1cff5009af62,Danial.zahed,17,"568,237,342,604,716,531,540,415","TFS:[TTTTTFFT] RTS:[566,238,342,604,716,531,540,414] HDS:[9,3,O,6,0,K,G,8] CHD:[03027347637032460246024607]",6,2,TTTTTFFT,,FALSE,
850100,ابرهای بارانی,3400,23,8/7/2023 2:07:38 PM,1ac3985e-da13-4228-8ef5-1cff5009af62,Danial.zahed,18,"59,471,655,866,529,1205,1561,464","TFS:[TTTFTFTT] RTS:[60,472,655,866,528,1205,1562,463] HDS:[4,A,K,7,8,1,I,6] CHD:[00246307237346024607234670]",6,2,TTTFTFTT,,FALSE,
850100,ابرهای بارانی,1400,23,8/7/2023 2:07:19 PM,1ac3985e-da13-4228-8ef5-1cff5009af62,Danial.zahed,15,"464,234,349,680,806,698,615,348","TFS:[TTTTTFFF] RTS:[465,234,349,680,805,697,616,347] HDS:[1,A,F,G,C,N,D,J] CHD:[00172461702147601724602460]",5,3,TTTTTFFF,,FALSE,
850100,ابرهای بارانی,1400,23,8/7/2023 2:07:02 PM,1ac3985e-da13-4228-8ef5-1cff5009af62,Danial.zahed,18,"874,372,376,512,475,421","TFS:[TTTFFF] RTS:[875,370,377,511,475,422] HDS:[3,E,O,A,K,G] CHD:[01515024602416052460124605]",3,3,TTTFFF,,FALSE,
850100,ابرهای بارانی,800,23,8/7/2023 2:06:43 PM,1ac3985e-da13-4228-8ef5-1cff5009af62,Danial.zahed,18,"16,563,408,424,1477,1503,697,1968","TFS:[TFFTTFFT] RTS:[17,563,409,424,1477,1503,697,1968] HDS:[A,D,7,O,L,9,H,3] CHD:[07023460274360246024763703]",4,4,TFFTTFFT,,FALSE,
850098,ابرهای بارانی,9250,23,8/7/2023 2:05:47 PM,1ac3985e-da13-4228-8ef5-1cff5009af62,Danial.zahed,18,"1155,691,431,449","TFS:[TTFF] RTS:[1156,690,430,450] HDS:[9,I,D,K] CHD:[C0321460243160231463024610]",2,2,TTFF,,TRUE,
850098,ابرهای بارانی,8850,23,8/7/2023 2:05:29 PM,1ac3985e-da13-4228-8ef5-1cff5009af62,Danial.zahed,18,"547,308,730,322,442,897,805,1221","TFS:[TTTTTTFT] RTS:[547,307,730,321,441,897,805,1220] HDS:[M,J,4,H,8,6,D,2] CHD:[C0214761072461024670124760]",7,1,TTTTTTFT,,FALSE,
850098,ابرهای بارانی,6250,23,8/7/2023 2:05:11 PM,1ac3985e-da13-4228-8ef5-1cff5009af62,Danial.zahed,18,"998,1034,369,472,407,440,448,664","TFS:[TTFTTTFT] RTS:[998,1033,370,472,408,439,449,664] HDS:[N,A,C,5,O,M,E,D] CHD:[C0245630254360524602460353]",6,2,TTFTTTFT,,FALSE,
850098,ابرهای بارانی,4250,24,8/7/2023 2:04:55 PM,1ac3985e-da13-4228-8ef5-1cff5009af62,Danial.zahed,17,"649,305,283,514,607,433,1476,548","TFS:[TTTTTTFF] RTS:[650,305,283,514,607,432,1476,549] HDS:[D,J,K,6,9,E,L,M] CHD:[002460234610245316025346021]",6,2,TTTTTTFF,,FALSE,
850098,ابرهای بارانی,1750,24,8/7/2023 2:04:35 PM,1ac3985e-da13-4228-8ef5-1cff5009af62,Danial.zahed,18,"914,432,606,797,1878,896,671,790","TFS:[TTTTFTFF] RTS:[914,433,606,797,1877,895,672,791] HDS:[5,B,9,3,H,O,L,I] CHD:[010274561072546024602461072]",5,3,TTTTFTFF,,FALSE,
850098,ابرهای بارانی,5250,24,8/7/2023 2:04:05 PM,1ac3985e-da13-4228-8ef5-1cff5009af62,Danial.zahed,17,"533,589,374,423,1169,357,374,782","TFS:[TTFFTTFT] RTS:[534,589,374,423,1169,357,374,782] HDS:[C,P,I,B,H,A,1,2] CHD:[002346072453675024360246027]",5,3,TTFFTTFT,,FALSE,
850098,ابرهای بارانی,3500,24,8/7/2023 2:03:47 PM,1ac3985e-da13-4228-8ef5-1cff5009af62,Danial.zahed,21,"497,357,424,629,2294,1677,773,1453","TFS:[TTTTFTTF] RTS:[498,357,423,629,2295,1677,773,1453] HDS:[3,F,O,K,C,B,2,P] CHD:[002174602346102476023146072]",6,2,TTTTFTTF,,FALSE,
850098,ابرهای بارانی,1000,24,8/7/2023 2:03:26 PM,1ac3985e-da13-4228-8ef5-1cff5009af62,Danial.zahed,15,"464,272,479,427,470,441,613,749","TFS:[TTTFFTFF] RTS:[465,274,479,426,472,441,612,750] HDS:[F,6,5,K,7,H,N,A] CHD:[002467150246027157146024602]",4,4,TTTFFTFF,,FALSE,
850096,ابرهای بارانی,8000,24,8/7/2023 2:02:50 PM,1ac3985e-da13-4228-8ef5-1cff5009af62,Danial.zahed,1,,TFS:[] RTS:[] HDS:[] CHD:[002741560324607125460243602],0,0,,,TRUE,
850096,ابرهای بارانی,8000,25,8/7/2023 2:02:49 PM,1ac3985e-da13-4228-8ef5-1cff5009af62,Danial.zahed,18,"540,257,1230,465,456,407,371,1945","TFS:[FTFFTTFF] RTS:[541,257,1230,465,456,407,371,1946] HDS:[3,G,1,K,M,8,F,6] CHD:[002741560324607125460243602]",3,5,FTFFTTFF,,FALSE,
850096,ابرهای بارانی,7750,25,8/7/2023 2:02:30 PM,1ac3985e-da13-4228-8ef5-1cff5009af62,Danial.zahed,18,"648,357,862,682,738,557,456,822","TFS:[TTTTFFFF] RTS:[649,357,862,683,738,557,456,822] HDS:[B,H,P,F,7,K,1,E] CHD:[002460724602541637502461023]",4,4,TTTTFFFF,,FALSE,
850096,ابرهای بارانی,6750,25,8/7/2023 2:02:12 PM,1ac3985e-da13-4228-8ef5-1cff5009af62,Danial.zahed,18,"815,1254,938,423,399,389,505,657","TFS:[TTFFTFTF] RTS:[815,1254,938,423,399,389,505,658] HDS:[H,2,P,3,1,J,F,D] CHD:[003524716024602436502460712]",4,4,TTFFTFTF,,FALSE,
850096,ابرهای بارانی,5750,25,8/7/2023 2:01:54 PM,1ac3985e-da13-4228-8ef5-1cff5009af62,Danial.zahed,17,"548,233,314,332,647,292,374,1470","TFS:[TTTTTTFT] RTS:[549,233,313,333,646,292,374,1470] HDS:[8,0,9,2,4,B,O,3] CHD:[070135246710324602460246025]",7,1,TTTTTTFT,,FALSE,
850096,ابرهای بارانی,2500,25,8/7/2023 2:01:35 PM,1ac3985e-da13-4228-8ef5-1cff5009af62,Danial.zahed,16,"531,448,357,448,574,472,382,1634","TFS:[TTTTFTFT] RTS:[533,449,357,448,574,472,382,1633] HDS:[3,H,7,K,1,C,N,A] CHD:[010254603247610246502346027]",6,2,TTTTFTFT,,FALSE,
850094,ابرهای بارانی,5250,24,8/7/2023 2:01:03 PM,1ac3985e-da13-4228-8ef5-1cff5009af62,Danial.zahed,13,42,TFS:[T] RTS:[44] HDS:[9] CHD:[070124602436072137146024602],1,0,T,,TRUE,
850094,ابرهای بارانی,4750,24,8/7/2023 2:00:50 PM,1ac3985e-da13-4228-8ef5-1cff5009af62,Danial.zahed,19,"724,298,921,691,829,748,697,955","TFS:[TTTTTFFF] RTS:[724,298,921,691,829,748,697,956] HDS:[B,0,F,L,4,9,K,P] CHD:[070245610246702456017254602]",5,3,TTTTTFFF,,FALSE,
850094,ابرهای بارانی,3000,24,8/7/2023 2:00:31 PM,1ac3985e-da13-4228-8ef5-1cff5009af62,Danial.zahed,19,"681,417,360,540,433,839,1353,1422","TFS:[TTTTTTFF] RTS:[680,417,361,540,433,839,1353,1422] HDS:[1,H,C,F,N,9,J,O] CHD:[007246024615072415760246102]",6,2,TTTTTTFF,,FALSE,
850094,ابرهای بارانی,500,24,8/7/2023 2:00:12 PM,1ac3985e-da13-4228-8ef5-1cff5009af62,Danial.zahed,18,"599,398,416,522,1296,1070,756,657","TFS:[TTFFFTFF] RTS:[600,398,416,523,1296,1069,756,658] HDS:[D,M,1,P,J,H,O,A] CHD:[002416023460713246702143602]",3,5,TTFFFTFF,,FALSE,
850094,ابرهای بارانی,250,24,8/7/2023 1:59:53 PM,1ac3985e-da13-4228-8ef5-1cff5009af62,Danial.zahed,20,"731,746,1396,524,1013,563,3813,789","TFS:[TTTFFFFF] RTS:[732,747,1395,524,1013,562,3814,789] HDS:[7,E,8,1,P,D,5,J] CHD:[002460243560732547602436502]",3,5,TTTFFFFF,,FALSE,
850090,ابرهای بارانی,8600,23,8/7/2023 1:59:15 PM,1ac3985e-da13-4228-8ef5-1cff5009af62,Danial.zahed,14,"540,315,308","TFS:[TTT] RTS:[540,314,309] HDS:[N,B,E] CHD:[00124602460251456021451650]",3,0,TTT,,TRUE,
850087,بزرگراه,4600,7,8/7/2023 1:59:01 PM,014ce449-47ee-411e-abb9-c0ea27becfe4,Rouhi.Samiya,91,"3115,6032,1251,5766,3285,2316,2916,2432,2967,5133,2501,2183,1667,2000,1833,2200,1049,983,983,867,1432,117,1881,1000,151,700,3083,1899,1816,2384,1999,650,1348,1000,51,1184,1314,1235,949,949,850,1216,1316,1000,1016,999,133,3365,1752,1982","TFS:[TTFTTTTTTFTTTTTTTTTFFFFFTFTTTTTFTFFFTTTTFTFFFFFTTT] RTS:[3117,6034,1250,5767,3284,2317,2916,2432,2967,5124,2510,2183,1666,2000,1833,2200,1049,983,983,867,1420,130,1869,1000,163,700,3083,1899,1817,2383,1991,658,1341,1000,59,1184,1314,1235,948,949,850,1217,1300,1000,1020,1000,146,3353,1765,1982] HDS:[08,0H,08,0f,0O,1O,18,18,18,1X,2e,28,2O,2e,2e,39,39,39,3P,3f,31,3O,31,31,3O,2O,28,2e,28,2O,3H,3P,31,3H,38,3f,3P,39,3P,39,3P,3f,31,31,3X,2X,2O,21,2f,2e] CHD:[A50QLcG54e8fcHAb12PfPaM4Oa44Y9HO65HOPIQ6A681X0W6MA80WP]",32,18,TTFTTTTTTFTTTTTTTTTFFFFFTFTTTTTFTFFFTTTTFTFFFFFTTT,,TRUE,
850090,ابرهای بارانی,7400,23,8/7/2023 1:58:59 PM,1ac3985e-da13-4228-8ef5-1cff5009af62,Danial.zahed,18,"633,282,314,1878,487,525,507,656","TFS:[TTTTTTFT] RTS:[633,281,316,1878,487,525,507,656] HDS:[K,F,8,C,D,G,2,B] CHD:[00246502436053523546032460]",7,1,TTTTTTFT,,FALSE,
850090,ابرهای بارانی,4800,23,8/7/2023 1:58:41 PM,1ac3985e-da13-4228-8ef5-1cff5009af62,Danial.zahed,21,"549,297,315,1364,747,1454,1594,1695","TFS:[TTTTFFTF] RTS:[550,296,315,1365,746,1454,1594,1694] HDS:[H,7,9,C,M,K,B,E] CHD:[00246021717417602174602460]",5,3,TTTTFFTF,,FALSE,
850090,ابرهای بارانی,3400,23,8/7/2023 1:58:20 PM,1ac3985e-da13-4228-8ef5-1cff5009af62,Danial.zahed,19,"359,589,306,457,1469,899,1069,890","TFS:[TTTTTFFF] RTS:[359,588,307,457,1468,900,1068,891] HDS:[0,J,5,4,N,H,M,B] CHD:[05024756024602475760524670]",5,3,TTTTTFFF,,FALSE,
850090,ابرهای بارانی,2000,23,8/7/2023 1:58:00 PM,1ac3985e-da13-4228-8ef5-1cff5009af62,Danial.zahed,18,"1129,1662,482,755,456,473,1454,580","TFS:[TTTFTTFT] RTS:[1129,1664,482,755,456,473,1454,580] HDS:[I,2,4,J,E,M,D,3] CHD:[00231346021463012463024160]",6,2,TTTFTTFT,,FALSE,
850086,حافظه لغات,4500,14,8/7/2023 1:56:39 PM,014ce449-47ee-411e-abb9-c0ea27becfe4,Rouhi.Samiya,2,,TFS:[] RTS:[] HDS:[] CHD:[0O24D0O51P002Q1zB0a00XD0OH08],0,0,,,TRUE,
850086,حافظه لغات,4500,14,8/7/2023 1:56:37 PM,014ce449-47ee-411e-abb9-c0ea27becfe4,Rouhi.Samiya,49,"3481,1467,1450,1883,1766,1333,1616,1200,1600","TFS:[TTTTTFTTT] RTS:[3482,1467,1449,1883,1766,1334,1616,1200,1600] HDS:[] CHD:[0O24D0O51P002Q1zB0a00XD0OH08]",8,1,TTTTTFTTT,,FALSE,
850086,حافظه لغات,3000,14,8/7/2023 1:55:47 PM,014ce449-47ee-411e-abb9-c0ea27becfe4,Rouhi.Samiya,50,"2999,1415,1400,1617,1333,1717,1734,2667,1517","TFS:[TTFFTTTTT] RTS:[3000,1415,1400,1617,1333,1717,1734,2667,1516] HDS:[] CHD:[0J1xM04P1#D0b50JD0bS1W003002]",7,2,TTFFTTTTT,,FALSE,
850086,حافظه لغات,1800,14,8/7/2023 1:54:57 PM,014ce449-47ee-411e-abb9-c0ea27becfe4,Rouhi.Samiya,48,"2935,1668,1566,1500,1750,1933,2017,1638,1866","TFS:[TTTTTTTTT] RTS:[2934,1667,1566,1500,1750,1933,2018,1638,1866] HDS:[] CHD:[0M05L0F00HB1gE1ZH1OE1Z50O026]",9,0,TTTTTTTTT,,FALSE,
850085,گروه سرود,4350,5,8/7/2023 1:53:20 PM,014ce449-47ee-411e-abb9-c0ea27becfe4,Rouhi.Samiya,2,,TFS:[] RTS:[] HDS:[] CHD:[075A2806B1C5A885],0,0,,,TRUE,
850085,گروه سرود,4350,5,8/7/2023 1:53:15 PM,014ce449-47ee-411e-abb9-c0ea27becfe4,Rouhi.Samiya,15,"700,1966,1650,100","TFS:[TTTT] RTS:[699,1965,1650,100] HDS:[5,A,8,8] CHD:[075A2806B1C5A88]",4,0,TTTT,,FALSE,
850085,گروه سرود,3950,5,8/7/2023 1:52:57 PM,014ce449-47ee-411e-abb9-c0ea27becfe4,Rouhi.Samiya,13,"3400,865,699","TFS:[TTT] RTS:[3400,866,699] HDS:[5,A,8] CHD:[075A2806B1C5A8]",3,0,TTT,,FALSE,
850085,گروه سرود,3650,5,8/7/2023 1:52:41 PM,014ce449-47ee-411e-abb9-c0ea27becfe4,Rouhi.Samiya,20,"982,200,2147,33,1149,749","TFS:[TTTTTT] RTS:[981,199,2150,32,1149,749] HDS:[B,B,5,5,7,0] CHD:[047B0590B53BB5570]",6,0,TTTTTT,,FALSE,
850085,گروه سرود,3050,5,8/7/2023 1:52:19 PM,014ce449-47ee-411e-abb9-c0ea27becfe4,Rouhi.Samiya,17,"746,2165,1050,133,1300","TFS:[TTTTT] RTS:[749,2165,1049,132,1299] HDS:[B,B,5,5,7] CHD:[047B0590B53BB557]",5,0,TTTTT,,FALSE,
850085,گروه سرود,2550,5,8/7/2023 1:51:59 PM,014ce449-47ee-411e-abb9-c0ea27becfe4,Rouhi.Samiya,12,"814,366,666,14","TFS:[TTTT] RTS:[816,365,666,17] HDS:[B,B,5,5] CHD:[047B0590B53BB55]",4,0,TTTT,,FALSE,
850085,گروه سرود,2150,5,8/7/2023 1:51:45 PM,014ce449-47ee-411e-abb9-c0ea27becfe4,Rouhi.Samiya,15,"5100,1284,978","TFS:[TTT] RTS:[5099,1284,981] HDS:[B,B,5] CHD:[047B0590B53BB5]",3,0,TTT,,FALSE,
850085,گروه سرود,1850,5,8/7/2023 1:51:27 PM,014ce449-47ee-411e-abb9-c0ea27becfe4,Rouhi.Samiya,23,"750,1149,1383,1367,1050,932","TFS:[TTTTTT] RTS:[750,1148,1382,1366,1049,932] HDS:[B,4,4,B,0,4] CHD:[0BA4092C614B44B04]",6,0,TTTTTT,,FALSE,
850085,گروه سرود,1250,5,8/7/2023 1:51:01 PM,014ce449-47ee-411e-abb9-c0ea27becfe4,Rouhi.Samiya,19,"950,1098,166,1133,1883","TFS:[TTTTT] RTS:[949,1099,166,1132,1882] HDS:[B,4,4,B,0] CHD:[0BA4092C614B44B0]",5,0,TTTTT,,FALSE,
850085,گروه سرود,750,5,8/7/2023 1:50:40 PM,014ce449-47ee-411e-abb9-c0ea27becfe4,Rouhi.Samiya,15,"1367,1383,383,933","TFS:[TTTT] RTS:[1366,1383,383,932] HDS:[B,4,4,B] CHD:[0BA4092C614B44B]",4,0,TTTT,,FALSE,
850085,گروه سرود,350,5,8/7/2023 1:50:23 PM,014ce449-47ee-411e-abb9-c0ea27becfe4,Rouhi.Samiya,11,"933,1367,899","TFS:[TTT] RTS:[932,1366,899] HDS:[B,4,4] CHD:[0BA4092C614B44]",3,0,TTT,,FALSE,
850085,گروه سرود,50,5,8/7/2023 1:50:09 PM,014ce449-47ee-411e-abb9-c0ea27becfe4,Rouhi.Samiya,10,"1984,1399","TFS:[TF] RTS:[1984,1398] HDS:[4,4] CHD:[041806629C4466]",1,1,TF,,FALSE,
850084,حافظه تصاویر,4300,15,8/7/2023 1:49:06 PM,014ce449-47ee-411e-abb9-c0ea27becfe4,Rouhi.Samiya,29,"2949,1700,1483,1533","TFS:[TTTT] RTS:[2950,1700,1482,1533] HDS:[] CHD:[0bISX0pYvkG1SSXwnJ101pa]",4,0,TTTT,,TRUE,
850084,حافظه تصاویر,3500,15,8/7/2023 1:48:36 PM,014ce449-47ee-411e-abb9-c0ea27becfe4,Rouhi.Samiya,60,"2714,1533,1566,1799,1416,1367,1649,1534,2199,2150,1517","TFS:[TTFTTFTTTTT] RTS:[2717,1532,1566,1799,1417,1367,1649,1535,2200,2151,1518] HDS:[] CHD:[01J1CtO0ukFK8K8AoSBg0o5]",9,2,TTFTTFTTTTT,,FALSE,
850084,حافظه تصاویر,1900,15,8/7/2023 1:47:36 PM,014ce449-47ee-411e-abb9-c0ea27becfe4,Rouhi.Samiya,61,"2250,2033,1699,1949,1533,1800,2950,1615,3133,1516,1850","TFS:[TTTTTTFTTTT] RTS:[2250,2033,1699,1950,1533,1800,2950,1616,3133,1516,1849] HDS:[] CHD:[00vCQ0scNNfCQR6p3f2s$0V]",10,1,TTTTTTFTTTT,,FALSE,
850083,گالری عکس,3700,3,8/7/2023 1:45:26 PM,014ce449-47ee-411e-abb9-c0ea27becfe4,Rouhi.Samiya,186,"885,1068,1750,4802,1485,481,868,684,899,866,837,517,401,1252,1168,451,451,618,568,534,769,1335,951,2251,1085,868,536,1634,1485,718,819,1335,884,735,1252,668,1550","TFS:[TTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTT] RTS:[884,1067,1750,4801,1484,481,867,683,898,865,835,516,399,1250,1166,450,450,617,567,534,767,1333,948,2250,1083,866,534,1632,1483,716,817,1333,882,734,1250,667,1549] HDS:[00,0I,04,06,0M,16,16,1M,1M,1M,2M,2M,26,26,26,3M,3M,36,36,3M,3M,3M,36,36,3M,3M,36,36,36,3M,36,36,3M,3M,3M,3M,3M] CHD:[4C4788C77777747CCC48888C77748774CCCCCCC]",37,0,TTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTTT,,TRUE,
850082,حافظه عسلی,9000,9,8/7/2023 1:41:23 PM,014ce449-47ee-411e-abb9-c0ea27becfe4,Rouhi.Samiya,0,,TFS:[] RTS:[] HDS:[] CHD:[2G487C36797105684E00044C6B06046B692],0,0,,,TRUE,
