#,نام بازی,امتیاز,سطح,زمان,کاربر,نام کاربری,مدت(ثانیه),زمان واکنش(میلی ثانیه),جزئیات,پاسخ های درست,پاسخ های غلط,رشته درست و غلط,تنظیمات پیشرفته,پایان یافته,بیشتر
849920,مو نزنه,800,2,8/6/2023 11:33:19 PM,2673c750-8b33-450c-82bb-93f40fc3fa68,mr25,1,1783,TFS:[T] RTS:[1787] HDS:[2922408] CHD:[],1,0,T,,FALSE,
849920,مو نزنه,700,2,8/6/2023 11:33:13 PM,2673c750-8b33-450c-82bb-93f40fc3fa68,mr25,2,1994,TFS:[F] RTS:[2004] HDS:[2610317] CHD:[],0,1,F,,FALSE,
849920,مو نزنه,750,2,8/6/2023 11:33:11 PM,2673c750-8b33-450c-82bb-93f40fc3fa68,mr25,0,1997,TFS:[F] RTS:[2684] HDS:[2620231] CHD:[],0,1,F,,FALSE,
849920,مو نزنه,800,2,8/6/2023 11:33:10 PM,2673c750-8b33-450c-82bb-93f40fc3fa68,mr25,2,1997,TFS:[F] RTS:[2001] HDS:[2621231] CHD:[],0,1,F,,FALSE,
849920,مو نزنه,850,2,8/6/2023 11:33:05 PM,2673c750-8b33-450c-82bb-93f40fc3fa68,mr25,1,1435,TFS:[F] RTS:[1490] HDS:[1601327] CHD:[],0,1,F,,FALSE,
849920,مو نزنه,900,2,8/6/2023 11:32:59 PM,2673c750-8b33-450c-82bb-93f40fc3fa68,mr25,1,1876,TFS:[T] RTS:[1886] HDS:[1911580] CHD:[],1,0,T,,FALSE,
849920,مو نزنه,800,2,8/6/2023 11:32:55 PM,2673c750-8b33-450c-82bb-93f40fc3fa68,mr25,2,2323,TFS:[T] RTS:[2369] HDS:[1222683] CHD:[],1,0,T,,FALSE,
849920,مو نزنه,700,2,8/6/2023 11:32:51 PM,2673c750-8b33-450c-82bb-93f40fc3fa68,mr25,3,3868,TFS:[T] RTS:[3872] HDS:[1700046] CHD:[],1,0,T,,FALSE,
849920,مو نزنه,600,2,8/6/2023 11:32:45 PM,2673c750-8b33-450c-82bb-93f40fc3fa68,mr25,1,1428,TFS:[T] RTS:[1483] HDS:[1122408] CHD:[],1,0,T,,FALSE,
849920,مو نزنه,500,2,8/6/2023 11:32:40 PM,2673c750-8b33-450c-82bb-93f40fc3fa68,mr25,1,1562,TFS:[T] RTS:[1568] HDS:[0811538] CHD:[],1,0,T,,FALSE,
849920,مو نزنه,400,2,8/6/2023 11:32:37 PM,2673c750-8b33-450c-82bb-93f40fc3fa68,mr25,5,5343,TFS:[T] RTS:[5358] HDS:[0711164] CHD:[],1,0,T,,FALSE,
849920,مو نزنه,300,2,8/6/2023 11:32:27 PM,2673c750-8b33-450c-82bb-93f40fc3fa68,mr25,1,1582,TFS:[T] RTS:[1634] HDS:[0022453] CHD:[],1,0,T,,FALSE,
849920,مو نزنه,200,2,8/6/2023 11:32:23 PM,2673c750-8b33-450c-82bb-93f40fc3fa68,mr25,1,1793,TFS:[T] RTS:[1803] HDS:[0822540] CHD:[],1,0,T,,FALSE,
849920,مو نزنه,100,2,8/6/2023 11:32:21 PM,2673c750-8b33-450c-82bb-93f40fc3fa68,mr25,3,3531,TFS:[T] RTS:[3571] HDS:[0911537] CHD:[],1,0,T,,FALSE,
849896,مو نزنه,300,1,8/6/2023 11:31:35 PM,2673c750-8b33-450c-82bb-93f40fc3fa68,mr25,2,,TFS:[] RTS:[] HDS:[] CHD:[],0,0,,,TRUE,
849896,مو نزنه,300,1,8/6/2023 11:31:33 PM,2673c750-8b33-450c-82bb-93f40fc3fa68,mr25,1,1562,TFS:[T] RTS:[1568] HDS:[2122416] CHD:[],1,0,T,,FALSE,
849896,مو نزنه,200,1,8/6/2023 11:31:29 PM,2673c750-8b33-450c-82bb-93f40fc3fa68,mr25,1,1533,TFS:[T] RTS:[1539] HDS:[2211503] CHD:[],1,0,T,,FALSE,
